iteration,current_score,best_score,candidate_score,temperature,accepted,removed,destroy,repair,best_deficit,best_surplus
1,7918.404722126897,7918.404722126897,8007926.404450244,1190.4,0,41,random_assignments,regret,0.0,7918.0
10,7918.404722126897,7918.404722126897,4007922.40385641,1107.3832943487162,0,36,high_surplus,greedy_deficit,0.0,7918.0
20,7918.408460524409,7918.404722126897,1007919.4084605244,1021.9148005021791,0,33,high_surplus,regret,0.0,7918.0
30,7918.408460524409,7918.404722126897,3007921.4084605244,943.0428152698448,0,104,whole_days,balanced_day,0.0,7918.0
40,7918.408460524409,7918.404722126897,8007926.406890648,870.2582162378403,0,51,high_surplus,balanced_day,0.0,7918.0
50,7918.408460524409,7918.404722126897,1007919.4084605244,803.0911753595807,0,18,whole_days,balanced_day,0.0,7918.0
60,7918.408460524409,7918.404722126897,10007928.407013513,741.1081261933956,0,96,whole_days,balanced_day,0.0,7918.0
70,7918.408460524409,7918.404722126897,1007919.4084605244,683.9089652105387,0,54,high_surplus,regret,0.0,7918.0
80,7918.408460524409,7918.404722126897,8007926.407357337,631.1244691078898,0,67,high_surplus,greedy_deficit,0.0,7918.0
90,7918.408460524409,7918.404722126897,5007923.408436041,582.413911453983,0,38,random_assignments,regret,0.0,7918.0
100,7918.408460524409,7918.404722126897,7007925.408142132,537.4628632836942,0,64,whole_workers,regret,0.0,7918.0
110,7918.408460524409,7918.404722126897,4007922.4077008707,495.9811634443258,0,64,random_assignments,regret,0.0,7918.0
120,7918.408460524409,7918.404722126897,6007924.407749923,457.70104559157204,0,52,high_surplus,greedy_deficit,0.0,7918.0
130,7918.408460524409,7918.404722126897,2007920.4084605244,422.375409745039,0,93,whole_days,greedy_deficit,0.0,7918.0
140,7918.408460524409,7918.404722126897,7007925.407308237,389.77622724612496,0,64,whole_workers,regret,0.0,7918.0
150,7918.408460524409,7918.404722126897,2007920.4071117782,359.6930688221897,0,24,whole_workers,greedy_deficit,0.0,7918.0
160,7918.408460524409,7918.404722126897,1007919.4084605244,331.93174625559647,0,28,high_surplus,regret,0.0,7918.0
170,7918.408460524409,7918.404722126897,4007922.407602748,306.3130588895371,0,52,high_surplus,greedy_deficit,0.0,7918.0
180,7918.408460524409,7918.404722126897,4007922.4084605244,282.67163687927325,0,91,whole_days,regret,0.0,7918.0
